speed,latitude,longitude,route_type,anomaly
0.8095434,50.26485,28.72281,0.98391634,1
7.284949,50.25023,28.685196,0.7057502,1
27.542025,50.264862,28.697268,1.1145161,1
0.13384102,50.275063,28.638817,1.2108842,1
38.31349,50.287243,28.610088,1.04115,-1
0.21348336,50.274075,28.739597,1.0206193,-1
1.0281426,50.26598,28.64416,1.1302555,1
0.11684164,50.294098,28.682302,1.1270717,1
34.329315,50.247433,28.675985,0.85515493,1
0.4365521,50.261593,28.622232,0.17719129,1
4.1180506,50.279003,28.61863,0.13360181,1
10.862513,50.290447,28.732565,0.97981256,-1
27.945694,50.245514,28.713596,1.1921791,1
15.890437,50.25534,28.706806,0.8097857,1
0.10057081,50.265358,28.617474,0.5849772,1
28.294092,50.285168,28.596226,1.0936325,-1
0.024502754,50.259487,28.73094,0.71794343,-1
46.177788,50.268078,28.65431,0.765183,1
18.258776,50.25861,28.698782,0.55206215,1
0.58664656,50.258316,28.631384,0.680494,1
1.5725799,50.232723,28.608568,0.14453243,-1
7.1930695,50.23502,28.619461,0.031390853,-1
33.265892,50.265182,28.67345,1.0390074,1
0.52983415,50.25756,28.595688,1.0381535,1
0.24818489,50.242947,28.663464,0.68381083,1
37.80412,50.26228,28.671183,1.285343,1
10.240404,50.251175,28.696825,1.194182,1
0.87036544,50.286827,28.660608,1.2442014,1
0.35898542,50.27459,28.709318,0.998001,1
12.768924,50.293007,28.635765,1.1876177,1
2.4753687,50.290638,28.688139,1.1270299,1
35.64046,50.290207,28.62635,1.0705835,1
6.26875,50.27155,28.701965,1.0193036,1
2.1346402,50.276325,28.72924,0.996028,1
16.43441,50.24292,28.70796,0.8948971,1
25.166927,50.258743,28.688454,1.1539718,1
5.923329,50.276474,28.64392,1.0419105,1
26.554943,50.2665,28.651783,1.2606735,1
27.489008,50.295822,28.68701,1.2380277,1
26.783504,50.29896,28.698242,1.202796,1
0.08254195,50.293755,28.654772,1.4229773,1
0.65096974,50.264046,28.724394,1.2502313,1
1.0936742,50.27544,28.636566,1.1960651,1
0.02299959,50.25517,28.692623,1.2419838,1
5.800941,50.25119,28.653076,1.9965389,1
0.69349784,50.269424,28.698936,1.9997636,1
13.996861,50.294426,28.710299,1.9996417,1
0.850876,50.249424,28.676788,1.9997696,1
2.0998716,50.269367,28.644981,1.9998436,1
22.59824,50.259155,28.680138,1.9978944,1
5.65155,50.242714,28.615282,1.999598,1
29.31019,50.257076,28.67069,1.9992485,1
27.447245,50.263725,28.665121,1.9983356,1
0.51893914,50.25826,28.712465,1.9986199,1
31.24506,50.27794,28.662281,1.9762635,1
0.38927034,50.253185,28.712543,0.9990666,1
0.45185208,50.26184,28.64482,0.49421838,1
33.495396,50.266968,28.691282,0.94535273,1
0.1620899,50.264774,28.629436,1.2172873,1
25.22866,50.28992,28.608395,0.928537,-1
0.32252914,50.267864,28.738436,0.9901202,1
1.7747179,50.26223,28.640354,1.1544975,1
0.103488214,50.292526,28.673595,1.122521,1
17.914642,50.23925,28.694105,0.7510504,1
0.29614943,50.244297,28.623383,0.06945633,-1
3.8377852,50.275276,28.621521,0.07015958,1
35.79261,50.267323,28.686682,1.0260295,1
1.0177382,50.245758,28.59454,1.1377031,-1
0.3093302,50.24159,28.659431,0.651346,1
40.535465,50.264694,28.670628,1.4502428,1
3.6333075,50.256844,28.692236,1.2780222,1
1.1704735,50.286987,28.662092,1.3021672,1
0.35297617,50.272655,28.708162,1.0695884,1
14.445139,50.292885,28.641043,1.2147657,1
3.727173,50.28763,28.692636,1.0886548,1
36.984386,50.2907,28.629498,1.0284946,1
7.222781,50.27147,28.70344,1.0225976,1
3.9060478,50.282555,28.731115,0.99720424,-1
21.177206,50.2459,28.708836,1.0062869,1
22.921799,50.262962,28.689585,1.1295792,1
5.8063765,50.277897,28.64003,1.0356246,1
23.645336,50.26604,28.66123,1.2677298,1
36.521954,50.296032,28.673094,1.3462739,1
11.63081,50.299706,28.70602,1.2761263,1
0.06613305,50.28706,28.669857,1.4174111,1
0.40530962,50.264057,28.728952,1.1852887,1
2.2291343,50.267433,28.637426,1.1467688,1
0.04974321,50.24866,28.684637,1.1994858,1
1.6119432,50.27315,28.727942,0.99318725,1
14.668604,50.242256,28.706425,0.84308887,1
26.385273,50.257427,28.68839,1.1578592,1
6.127177,50.275288,28.645882,1.029324,1
27.223446,50.266586,28.649809,1.2394832,1
23.538046,50.29497,28.68948,1.1918179,1
30.02533,50.297676,28.694653,1.1930958,-1
0.0964464,50.29687,28.65227,1.4544063,1
0.8215625,50.266243,28.721712,1.3138742,1
0.8802571,50.276436,28.635443,1.2083511,1
0.023145512,50.256332,28.69431,1.2445432,1
34.6515,50.265614,28.673714,1.0289296,1
35.78085,50.24706,28.650549,1.1028466,1
11.482229,50.26084,28.661354,1.1153554,1
9.936431,50.282345,28.700954,1.2901058,1
43.65518,50.25264,28.689978,0.7815717,1
0.013228486,50.263664,28.625463,0.6103859,1
0.15703289,50.24419,28.678955,0.6216848,1
9.692099,50.243046,28.655045,1.0981512,1
2.058603,50.252224,28.688269,1.3281001,1
52.121277,50.25977,28.639257,1.0987759,1
35.22685,50.238605,28.694672,0.8184736,1
2.2530262,50.277294,28.72863,1.0007622,1
3.630645,50.26866,28.661264,0.92520225,1
8.752165,50.27749,28.712927,0.8394822,1
0.11451918,50.270832,28.663267,1.0290067,1
2.6598146,50.280563,28.729824,0.40866137,-1
7.4844437,50.28637,28.65976,1.2113345,1
0.03774546,50.298397,28.69502,1.5063014,1
32.226357,50.238274,28.719582,1.3391346,1
0.10347309,50.266552,28.65259,0.8276231,1
1.153453,50.23731,28.70104,0.9773986,1
3.566811,50.240635,28.634722,0.08639944,-1
22.103003,50.2932,28.73221,0.9638529,-1
46.649273,50.25913,28.695923,1.3256551,1
13.829069,50.272526,28.679863,0.91942066,1
10.560926,50.26236,28.641378,1.0585198,1
11.09841,50.271736,28.709946,1.1453375,1
15.624004,50.29235,28.688667,1.5317173,1
0.4554412,50.29133,28.718176,1.3943763,1
0.48862678,50.28213,28.667599,1.3466043,1
0.015951974,50.273876,28.72404,1.3168551,1
15.357029,50.281376,28.667194,1.3448108,1
4.4299254,50.273643,28.684916,1.3279871,1
0.8427462,50.265312,28.723436,0.98008394,1
10.986628,50.243355,28.69823,0.7221586,1
31.74543,50.25638,28.69535,1.1388146,1
6.92192,50.272804,28.644934,1.0240688,1
23.513876,50.271873,28.640795,1.2502279,1
16.4767,50.29404,28.696083,1.2446783,1
38.838734,50.296703,28.697296,1.262497,-1
2.7943773,50.302322,28.673725,1.4539062,1
1.559624,50.281334,28.703875,1.5577558,1
0.2303555,50.275303,28.661022,1.2315761,1
0.07441751,50.260468,28.7081,1.288772,1
1.26399,50.270275,28.72656,0.98866713,1
13.426329,50.242252,28.704292,0.7997511,1
28.33702,50.256718,28.69062,1.1571335,1
6.408422,50.274654,28.645912,1.0383106,1
26.362104,50.268646,28.645569,1.256095,1
19.5829,50.294907,28.69644,1.208893,1
36.394993,50.29682,28.696167,1.2201296,-1
0.16036168,50.300854,28.658855,1.5033197,1
1.0156336,50.267452,28.710875,1.4744637,1
0.5683105,50.27539,28.63652,1.1836255,1
0.030008074,50.256824,28.696213,1.2292507,1
0.39463848,50.25365,28.712969,0.99563545,1
5.2570524,50.24335,28.688404,0.5615556,1
15.036214,50.25581,28.655844,1.0000874,1
0.34402782,50.26428,28.615097,0.99569726,1
32.904808,50.276386,28.603432,1.129015,1
0.07360042,50.273766,28.738943,0.92238003,-1
30.194359,50.26708,28.66335,1.0214223,1
5.1533604,50.26777,28.707848,0.6913645,1
